host_name;asn;asn_v4;asn_v6;country_code;address_v4;address_v6
boxed-it01.ring.nlnog.net;50156;;;BE;195.200.224.123;2001:67c:344:1010:5054:ff:feca:6f60
fusix01.ring.nlnog.net;57866;;;NL;37.139.139.110;2a00:a7c0:1000:1303::1303
afilias02.ring.nlnog.net;12041;;;US;65.22.12.229;2a01:8840:c:500::229
as250net01.ring.nlnog.net;250;;;DE;194.150.168.19;2001:4ce8:c134:1019::1
bit01.ring.nlnog.net;12859;;;NL;212.114.113.69;2001:7b8:62b:0:400:d4ff:fe72:7145
dcsone01.ring.nlnog.net;37989;;;SG;203.123.48.14;2405:fc00::a001
videoplaza01.ring.nlnog.net;197541;;;SE;46.226.152.228;2a01:a100:a:500::228
zylon01.ring.nlnog.net;8312;;;NL;193.16.154.25;2a01:310:8312:1001::19
nianet01.ring.nlnog.net;31027;;;DK;87.116.6.32;2a02:188:2:d6::32
hostvirtual01.ring.nlnog.net;36236;;;IN;103.6.87.36;2403:2500:4000::d77
amatis01.ring.nlnog.net;34442;;;GB;77.246.27.26;2a00:1990:2727::2726
ntt02.ring.nlnog.net;2914;;;NL;165.254.255.12;2001:728:1808::12
melbourne01.ring.nlnog.net;39451;;;GB;37.128.187.253;2a03:b200:f::2
queryfoundry01.ring.nlnog.net;62638;;;US;107.182.141.199;2602:ffe8:200::4d76:a690
ripe01.ring.nlnog.net;3333;;;NL;193.0.0.180;2001:67c:2e8:3::c100:b4
goscomb01.ring.nlnog.net;39326;;;GB;46.17.60.106;2a01:348:0:42::10
fidonet01.ring.nlnog.net;8282;;;GB;80.252.121.11;2a01:2c0:a::1:102
unilogicnetworks01.ring.nlnog.net;28788;;;NL;62.133.200.1;2001:4128:6135:10:250:56ff:feb6:24
claranet03.ring.nlnog.net;8426;;;NL;212.61.158.6;2a02:830:1:4::2
stargate01.ring.nlnog.net;19171;;;CA;98.143.95.34;2607:4100:0000:0200::2
doruknet01.ring.nlnog.net;8685;;;TR;212.58.0.250;2a02:480:3411:6::2
nine01.ring.nlnog.net;29691;;;CH;94.230.210.216;2a02:418:5102::1
businessconnect01.ring.nlnog.net;15693;;;NL;46.183.250.9;2a01:8800:0:250::9
bluezonejordan01.ring.nlnog.net;57393;;;JO;31.222.236.6;2a01:8e40:1:12::2
arpnetworks01.ring.nlnog.net;25795;;;US;174.136.100.234;2607:f2f8:ade8::2
proserve01.ring.nlnog.net;21155;;;NL;83.96.195.104;2001:828:100:82:11:104:0:1
ausregistry01.ring.nlnog.net;38796;;;AU;120.29.249.252;2001:dcd:11:3d::4
dfn01.ring.nlnog.net;680;;;DE;194.95.236.10;2001:638:d:c402::1:1
qbranch01.ring.nlnog.net;20514;;;SE;217.151.198.151;2a03:c300:ffff:fffe::d
larsendata01.ring.nlnog.net;197495;;;DK;91.221.196.181;2001:67c:3c0:13::181
mtwentyfourseven01.ring.nlnog.net;9009;;;GB;176.10.80.18;2A01:300:666:0::2
onlinesas01.ring.nlnog.net;12876;;;FR;62.210.156.8;2001:bc8:3::3
yellowfiber01.ring.nlnog.net;40015;;;US;67.23.114.2;2607:fd50:1::5a
kpn01.ring.nlnog.net;286;;;NL;134.222.92.50;2001:680:0:800f::15e
csuc01.ring.nlnog.net;13041;;;ES;84.88.14.229;2001:40B0:1:1122:CE5C:A007:0:2
sixdegrees01.ring.nlnog.net;6908;;;GB;78.41.154.18;2a02:298:81:1337::b33f
rrbone01.ring.nlnog.net;39138;;;DE;31.172.10.5;2a01:a700:4836::1:2
jaguarnetwork01.ring.nlnog.net;30781;;;FR;85.31.196.24;2a01:240:101::24
nforce01.ring.nlnog.net;43350;;;NL;77.247.183.177;2a00:1768:1000:21:1::1
es01.ring.nlnog.net;293;;;US;198.129.33.90;2001:400:201:8000::2
speedpartner01.ring.nlnog.net;34225;;;DE;91.184.33.38;2a01:198:0:3::38
luna01.ring.nlnog.net;12902;;;NL;217.77.130.230;2001:9c0:1:4::130:230
softlayer05.ring.nlnog.net;36351;;;US;50.23.130.226;2607:f0d0:2002:6e::2
spacenet01.ring.nlnog.net;5539;;;DE;195.30.193.17;2001:608:1:151::17
mythicbeasts01.ring.nlnog.net;44684;;;GB;93.93.129.145;2a00:1098:0:80:1000:1d:0:1
peakten03.ring.nlnog.net;19271;;;US;68.71.96.252;2607:f758:d040:0:250:56ff:fe92:544c
peakten01.ring.nlnog.net;19271;;;US;206.196.5.164;2607:f758:a080:0:250:56ff:fe85:3098
portlane01.ring.nlnog.net;42708;;;SE;80.67.10.228;2a00:1a28:0:1::10:228
vshn01.ring.nlnog.net;59758;;;CH;185.72.20.108;2a05:3780:8000:308::108
ovh01.ring.nlnog.net;16276;;;FR;37.187.111.58;2001:41d0:a:643a::137
btireland01.ring.nlnog.net;2110;;;IE;193.95.190.212;2001:7c8:1000:5::1
xing02.ring.nlnog.net;50343;;;DE;109.233.156.243;2a01:8781:7473::7269:6e67
funet01.ring.nlnog.net;1741;;;FI;193.166.255.250;2001:708:0:b::2
kinber01.ring.nlnog.net;14877;;;US;162.223.16.247;2001:550:501:3::1ce:c01d:bee2
sapphire01.ring.nlnog.net;34803;;;GI;195.166.195.252;2a02:638:8:1::4
prolocation01.ring.nlnog.net;41887;;;NL;94.228.136.130;2a00:d00:ff:136:94:228:136:130
upcloud04.ring.nlnog.net;25697;;;US;38.100.118.29;2605:7380:1000:1310:a8aa:aaff:fea0:23a4
vancis01.ring.nlnog.net;1126;;;NL;85.90.94.148;2001:4d60:10:1200::4
bchnetwork01.ring.nlnog.net;35701;;;BE;195.234.45.126;2a01:70:ffff:3::2
spacedump01.ring.nlnog.net;30880;;;SE;212.63.210.241;2a01:298:f0::f
vellance01.ring.nlnog.net;34012;;;NL;217.195.114.152;2a03:5500:1:2:217:195:114:152
amazon04.ring.nlnog.net;16509;;;JP;176.34.57.117;2400:6700:ff00::b022:3975
upcloud02.ring.nlnog.net;202053;;;DE;94.237.24.27;2a04:3542:1000:910:a8aa:aaff:fea0:4c3a
gigabit01.ring.nlnog.net;60876;;;DK;185.24.168.23;2a00:7660:0:1::23
zeronet01.ring.nlnog.net;49962;;;GB;194.0.58.58;2001:67c:3e0:c5::58
telecityfi01.ring.nlnog.net;29154;;;FI;87.108.57.169;2001:a68:1:d:87:108:57:169
iij01.ring.nlnog.net;2497;;;JP;202.32.157.84;2001:240:10c:5:0:69:696a:3031
itmastaren01.ring.nlnog.net;51929;;;SE;81.94.161.36;2a00:7800:8000::36
is01.ring.nlnog.net;15879;;;NL;213.197.240.52;2001:9a0:2000:a::1:1
phusion01.ring.nlnog.net;58226;;;GB;91.239.87.47;2001:67c:105c:800::2
iabg01.ring.nlnog.net;29259;;;DE;83.170.60.36;2001:1b10:1006::53aa:3c24
switch01.ring.nlnog.net;559;;;CH;195.176.255.11;2001:620:0:9::a3
dacor01.ring.nlnog.net;28876;;;DE;217.24.48.97;2a00:9d80:9000:2::48:97
entanet01.ring.nlnog.net;8468;;;GB;78.33.35.246;2001:4d48:face:e::2
multiplay01.ring.nlnog.net;35028;;;GB;85.236.110.143;2001:4DB0:10:7::12
telus01.ring.nlnog.net;852;;;CA;154.11.253.242;2001:56A:2:3::f2
nynex01.ring.nlnog.net;62023;;;DE;109.236.159.249;2a00:e60:7000:1::249:1
hibernia03.ring.nlnog.net;5580;;;FR;78.152.54.74;2a02:d28:5580:e:1000::416
previder01.ring.nlnog.net;20847;;;NL;84.241.137.18;2001:1690:2:115::18
atlanticmetro01.ring.nlnog.net;29838;;;US;108.60.128.14;2001:1980:fc:3::2
cablecom01.ring.nlnog.net;42689;;;GB;77.244.137.180;2a01:388:0:f2::10
acsystemy01.ring.nlnog.net;39439;;;PL;80.245.176.74;2a03:e800:0:ffff::2
transip01.ring.nlnog.net;20857;;;NL;149.210.130.136;2a01:7c8:aab1:3f8::1
netability01.ring.nlnog.net;1197;;;IE;46.182.9.20;2a03:8900:100:711::20
man-da01.ring.nlnog.net;8365;;;DE;82.195.72.4;2001:41b8:200:0:ace3:9ff:fe10:e812
solido01.ring.nlnog.net;12617;;;DK;109.238.49.65;2a02:9d0:3023:1::2
tetaneutral01.ring.nlnog.net;197422;;;FR;91.224.149.112;2a01:6600:8081:7000::1
initseven01.ring.nlnog.net;13030;;;CH;82.197.163.98;2001:1620:2777:36::98
sargasso01.ring.nlnog.net;42579;;;GB;78.158.65.68;2A01:550:0:402::1
redpilllinpro03.ring.nlnog.net;39029;;;SE;87.238.57.254;2a02:c0:300:102::1
nordunet01.ring.nlnog.net;2603;;;SE;109.105.111.80;2001:948:4:6::80
beanfield01.ring.nlnog.net;21949;;;CA;66.207.196.130;2607:F0C8:1:1::1
4ddc01.ring.nlnog.net;31463;;;GB;46.245.255.5;2a00:1c18:0:101::5
openminds01.ring.nlnog.net;30961;;;BE;37.72.162.102;2a02:d08:1002:321:370:7216:2102:1
sabay01.ring.nlnog.net;7712;;;KH;118.67.200.190;2405:aa00:4:298::190
fnutt01.ring.nlnog.net;57381;;;NO;193.150.22.68;2001:67c:24e4:64::68
intellit01.ring.nlnog.net;50272;;;NO;62.24.55.66;2a03:1400:21:1703::66
signet01.ring.nlnog.net;28878;;;NL;81.21.136.3;2001:4cb8:1:ff03::2
blix01.ring.nlnog.net;50304;;;NO;178.255.148.131;2a02:20c8:14::2
nlnetlabs01.ring.nlnog.net;199664;;;NL;185.49.141.7;2a04:b900:0:1::7
direcpath01.ring.nlnog.net;31939;;;US;65.50.1.70;2607:f1e8:f0f0:b:528a:1948:db90:ec59
citynetwork02.ring.nlnog.net;12552;;;SE;185.2.152.103;2001:67c:174c:1::103
ovh03.ring.nlnog.net;16276;;;FR;5.196.13.221;2001:41d0:52:600:0:0:0:671
i3d01.ring.nlnog.net;49544;;;NL;31.204.129.45;2a00:1630:2:a01::1
iptron01.ring.nlnog.net;12757;;;EE;188.227.249.82;2a03:5880:101:5::82
cambrium01.ring.nlnog.net;25596;;;NL;217.19.17.23;2a02:58:3:110::23:1
nimag01.ring.nlnog.net;6893;;;CH;62.220.128.73;2001:788:2:143::2
tigron01.ring.nlnog.net;56837;;;BE;86.39.65.11;2a00:6ec0:101:1:0:11::
edsitech01.ring.nlnog.net;202194;;;CH;185.50.191.247;2a04:c000:ed51:919:247::1
duocast01.ring.nlnog.net;31477;;;NL;89.188.27.98;2a01:1b0:7999:453::50
popsc01.ring.nlnog.net;11242;;;BR;200.237.196.2;2001:12f0:200:4017:20c:29ff:fede:b178
firstcolo01.ring.nlnog.net;44066;;;DE;212.224.71.117;2a01:7e0::212:224:71:117
esgob01.ring.nlnog.net;30746;;;GB;195.177.253.162;2001:67c:1b40:162::162
equinixnl01.ring.nlnog.net;16243;;;NL;217.114.111.202;2001:1540:801:19:20c:29ff:fe8f:8feb
nicchile01.ring.nlnog.net;27678;;;CL;200.1.120.28;2001:1398:3:120:200:1:120:28
transtelco01.ring.nlnog.net;32098;;;MX;201.174.85.6;2604:d600:302:7::2
sonic01.ring.nlnog.net;7065;;;US;70.36.170.6;2001:5a8:201:4::2
kaiaglobal02.ring.nlnog.net;251;;;US;95.141.20.190;2a02:b0:2011:5::2
msu01.ring.nlnog.net;2848;;;RU;93.180.19.229;2a00:f480:0:104::2
underworld01.ring.nlnog.net;50213;;;NO;91.213.203.91;2001:67c:398::91
corebackbone01.ring.nlnog.net;33891;;;DE;82.199.134.114;2a01:4a0:61::2
cybercom01.ring.nlnog.net;51164;;;FI;178.217.129.212;2001:67c:224:13::1337
rgnet01.ring.nlnog.net;3130;;;US;147.28.0.89;2001:418:1::89
xs4all01.ring.nlnog.net;3265;;;NL;82.94.249.162;2001:888:2000:3e::1337
speakup01.ring.nlnog.net;49627;;;NL;185.68.163.254;2a03:2c60:0:8000::42
hostvirtual02.ring.nlnog.net;36236;;;HK;103.6.84.107;2403:2500:8000:1::62e
xing01.ring.nlnog.net;50343;;;DE;109.233.152.243;2a01:8780:7473::7269:6e67
bytemark01.ring.nlnog.net;35425;;;GB;5.28.62.9;2001:41c9:1:41c::9
hostway01.ring.nlnog.net;14280;;;CA;64.40.105.244;2606:6a00::a:c
datacentred01.ring.nlnog.net;62212;;;GB;185.43.216.223;2a04:9700:1:9::2
combell01.ring.nlnog.net;34762;;;BE;37.148.176.54;2a00:1c98:10:7::2
nexellent01.ring.nlnog.net;31424;;;CH;217.147.213.237;2001:4168:babe:2::2
liquidweb01.ring.nlnog.net;32244;;;US;209.59.185.5;2607:fad0:32:a021::4
leaseweb04.ring.nlnog.net;16265;;;DE;185.17.144.154;2a00:c98:2200:af0a:baaa::1
glesys01.ring.nlnog.net;43948;;;SE;109.74.6.228;2a02:750:7::392
siminn01.ring.nlnog.net;9167;;;DK;213.173.231.26;2a01:3a0:23:2222::2
poppr01.ring.nlnog.net;10881;;;BR;200.134.255.54;2801:82:0:3::54
upcloud03.ring.nlnog.net;202053;;;GB;83.136.252.93;2a04:3541:1000:500:a8aa:aaff:fea0:6ffe
gwu01.ring.nlnog.net;11039;;;US;128.164.88.185;2620:106:c005:4f85:3816:8fd:80a4:58b9
openimp01.ring.nlnog.net;47998;;;GB;94.228.79.60;2a00:1068:ffff:402::1024
tfskok01.ring.nlnog.net;49420;;;PL;91.212.242.244;2001:67c:24c::b
octopuce01.ring.nlnog.net;39389;;;FR;91.194.60.185;2001:67c:288::185
onet02.ring.nlnog.net;12990;;;PL;141.105.16.133;2a02:c10:3f00:7::2
vibe01.ring.nlnog.net;45177;;;NZ;14.1.44.230;2401:7000:1:2::2
finecom01.ring.nlnog.net;15600;;;CH;212.60.60.202;2001:1a88:10:3:202::1
hosteurope01.ring.nlnog.net;20773;;;DE;217.115.140.61;2a01:488:ded::d973:8c3d
amazon03.ring.nlnog.net;16509;;;SG;46.137.244.41;2400:6500:ff00::2e89:f429
maxitel01.ring.nlnog.net;61349;;;NL;185.29.203.222;2a04:4340:1:1::2
nicbr01.ring.nlnog.net;22548;;;BR;200.160.6.171;2001:12ff:0:6172::171
infowest01.ring.nlnog.net;11071;;;US;209.33.215.106;2604:2C00:0:110::2
jointtransit01.ring.nlnog.net;24785;;;NL;213.207.9.61;2a02:10:0:1::90:10
tripleit01.ring.nlnog.net;50295;;;NL;93.187.11.10;2a00:1f00:dc06:12::10
nexiu01.ring.nlnog.net;15925;;;DE;46.21.1.102;2a01:7f8:0:10f:102::1
coreinternet01.ring.nlnog.net;44345;;;GB;185.86.20.92;2a05:b480:300::2
algar01.ring.nlnog.net;16735;;;BR;187.72.248.26;2001:1291:400:e::b
kantonsschulezug01.ring.nlnog.net;34288;;;CH;46.234.32.56;2001:4b20:c001::1000
voxel02.ring.nlnog.net;29791;;;SG;103.22.129.2;2404:1200:0:5::2
fasttrackcomm01.ring.nlnog.net;30688;;;US;206.123.203.163;2607:6400:2::3163
blacknight01.ring.nlnog.net;39122;;;IE;78.153.194.4;2a01:a8:dc2:40::aaaa
choopa01.ring.nlnog.net;20473;;;US;45.63.14.202;2001:19f0:300:62a8:5400:ff:fe09:a1cd
viatel01.ring.nlnog.net;31122;;;IE;80.93.31.245;2a01:258:8:6:20c:29ff:fe95:1965
bkkfiber01.ring.nlnog.net;8542;;;NO;85.200.239.110;2a00:14d8:1001:713::2
afilias03.ring.nlnog.net;12041;;;JP;199.19.52.229;2001:500:a:500::229
ipmax01.ring.nlnog.net;25091;;;FR;46.20.247.200;2a02:2528:404:1::200
filoo01.ring.nlnog.net;47215;;;DE;109.75.188.108;2a00:12c0:1015:100:0:2:0:1
claranet02.ring.nlnog.net;8426;;;DE;195.38.140.4;2a00:1798:fff0::4
switchco01.ring.nlnog.net;63399;;;NL;185.91.9.17;2a05:e580:105:1014::2
claranet01.ring.nlnog.net;8426;;;GB;195.157.9.4;2001:a88:0:ff00::4
claranet04.ring.nlnog.net;8426;;;PT;195.22.19.34;2001:4cc0:cafe:babe::2
softlayer03.ring.nlnog.net;36351;;;US;174.37.230.130;2607:f0d0:3003:a9::2
kwaoo01.ring.nlnog.net;24904;;;CH;178.250.209.33;2a03:4980::10:0:15
sasag01.ring.nlnog.net;35518;;;CH;87.245.64.187;2a00:d80::1:185
intouch01.ring.nlnog.net;8954;;;NL;212.19.220.58;2001:6e0:100:4001::2
strato01.ring.nlnog.net;6724;;;DE;85.214.1.147;2a01:238:bd:3002::2
webair01.ring.nlnog.net;27257;;;US;174.137.148.20;2604:9e00:0001:010c:0000:0000:0000:0005
dragon01.ring.nlnog.net;15614;;;CZ;213.168.176.84;2a02:13b8:7800::2
networkoperations01.ring.nlnog.net;30830;;;NL;80.73.130.123;2a01:5140:130:123::
mknetzdienste01.ring.nlnog.net;25394;;;DE;85.220.161.84;2001:1640::55:3
rackfish01.ring.nlnog.net;49232;;;SE;194.169.225.130;2a00:59c0:1:3::130
towardex01.ring.nlnog.net;27552;;;US;216.93.240.179;2001:4830:123:1::d85d:f0b3
elisa01.ring.nlnog.net;719;;;FI;194.157.148.236;2001:998:12:58::719
jump01.ring.nlnog.net;8943;;;GB;212.13.217.117;2001:ba8:1::d975
vocus01.ring.nlnog.net;4826;;;AU;175.45.73.66;2402:7800:0:2::1CE
citynetwork03.ring.nlnog.net;52011;;;GB;185.52.156.103;2a03:b000:1:1::103
mozilla01.ring.nlnog.net;36856;;;US;63.245.223.37;2620:101:8016:20::1:37
vshn02.ring.nlnog.net;59761;;;CH;185.72.236.108;2a05:3d80:8000:208::108
linode01.ring.nlnog.net;63949;;;SG;103.3.60.146;2400:8901::f03c:91ff:fe37:a150
leaseweb02.ring.nlnog.net;60781;;;NL;37.48.73.130;2001:1af8:4700:a103:baaa::1
syseleven01.ring.nlnog.net;25291;;;DE;37.49.155.108;2a00:7fc0:4000:13::9
cyberverse01.ring.nlnog.net;11051;;;US;209.151.242.106;2607:f820:104::106
noris01.ring.nlnog.net;12337;;;DE;213.95.10.76;2001:780:100:115::10
altibox01.ring.nlnog.net;29695;;;NO;109.247.116.75;2a01:798:0:8050::75
zitcom01.ring.nlnog.net;48854;;;DK;94.231.110.110;2a02:2338:ff00::705:1
claranet06.ring.nlnog.net;8426;;;ES;92.54.7.29;2a02:a0:1:1::9
iucc01.ring.nlnog.net;378;;;IL;128.139.197.81;2001:bf8:900:1::808b:c551
nebula01.ring.nlnog.net;29422;;;FI;188.117.58.137;2001:1bc8:200:f::2
cegeka01.ring.nlnog.net;9166;;;BE;212.113.66.22;2a02:2398::9166
keenondots01.ring.nlnog.net;51313;;;NL;91.218.150.255;2a03:3400:3:2501::150:255
blizoo01.ring.nlnog.net;13124;;;BG;217.9.226.25;2a00:4800:0020:6029:0000:0000:0000:0002
swiftnode01.ring.nlnog.net;63294;;;US;104.255.38.130;2605:e980:14:73:7769:6674:6e6f:6465
nautile01.ring.nlnog.net;45345;;;NC;115.126.160.143;2404:e400:998:0:216:3eff:fe7e:a08f
ipvisie01.ring.nlnog.net;198089;;;NL;141.136.120.48;2a01:8580:103:1::108
ispservices01.ring.nlnog.net;24875;;;NL;212.79.254.61;2001:968:8888:0:212:79:254:61
kudelski01.ring.nlnog.net;42570;;;CH;185.35.61.74;2a04:5c87:8b00:1211:5054:ff:fe65:ff80
digitalocean03.ring.nlnog.net;202018;;;NL;178.62.253.214;2A03:B0C0:0002:00D0:0000:0000:0004:E001
trueinternet01.ring.nlnog.net;7470;;;TH;203.144.167.57;2001:fb0:100:ffff:211:25ff:fe40:9468
claranet05.ring.nlnog.net;8426;;;FR;62.240.228.4;2001:a70:ff:5::4
